id;nir;cle_nir;num_alloc_cristal;num_personne_cristal;code_organisme_cristal;situation_familiale_debut_date;code_situation_familiale;code_nationalite;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;along;28363;2344;7160;ew;2026-01-06;concerning mobilise;soon;scram;all;05:09:00;wherever yahoo;21:26:00;12999
2;electric;20412;32701;18984;helplessly;2026-01-06;nor reword urgently;finally whoever satisfy;questionably;pish miscalculate ample;01:01:00;entice;11:12:00;1736
3;duh ham till;32271;17357;13332;forenenst pish;2026-01-06;highlight;chops represent during;cross factorise;gray once phooey;18:57:00;along blissfully;17:26:00;31012
4;silky cavernous;3894;22294;2510;petticoat;2026-01-07;yum;lest deliberately hmph;savour;geez huzzah elegant;05:31:00;pronoun brush eventually;12:12:00;10046
5;though;11117;30881;32242;sunny blah;2026-01-07;woot;along;after;consequently guzzle above;13:40:00;anenst overvalue;15:46:00;8686
6;barring daddy;22292;23098;10630;via;2026-01-07;populist whereas quit;faraway perfection;notwithstanding maroon presume;up;07:50:00;community above;17:42:00;30518
7;jubilantly;30624;16261;8758;down;2026-01-06;bar deprave;pearl suspension;nerve;supposing;10:02:00;seriously wherever;09:32:00;11016
8;hmph bah;21594;29667;2996;triangular;2026-01-07;till;however;rule indeed thoroughly;deliberately for;12:45:00;absolve battle shimmering;18:17:00;12340
9;sediment wherever;27111;324;3734;as;2026-01-07;versus;incidentally;tenderly gadzooks squid;versus upright;18:18:00;categorise sweet;18:24:00;4328
10;coin hmph;23055;17055;20769;even acquaintance;2026-01-06;swill;geez row;before jacket;ouch;21:40:00;orchid;01:01:00;16641
