id;nir;cle_nir;num_alloc_cristal;code_organisme_cristal;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;encode woot archive;3690;28747;likewise oof;hourly alert;intellect;20:10:00;upon capsize;00:59:00;20976
2;ouch creamy aha;6019;5891;but gosh pfft;given singing;why frankly;15:17:00;pfft zowie gifted;17:17:00;8117
3;slump;14037;5001;hippodrome;reborn;drat materialise so;17:03:00;out nephew;06:47:00;7124
4;sidetrack yahoo lovingly;20504;29591;meander;whoever;with;00:04:00;deeply wavy thongs;04:27:00;13863
5;whether times;5909;7584;unless instead and;toaster;since stall;22:03:00;airport hmph;16:15:00;20249
6;serialize;17732;3568;inasmuch;given readmit;but parade bracelet;20:32:00;because likely sting;08:48:00;21625
7;traditionalism whoa;15085;16198;sentimental;exempt tame afore;seriously splash midst;09:11:00;oh around;02:33:00;16025
8;pro tall incidentally;6801;3974;judgementally inscribe;once swift;bandwidth inside;06:17:00;onto;12:21:00;2772
9;cheese whoa zowie;18952;123;why scrabble;pull;tackle phew;22:27:00;ack;16:32:00;14174
10;anxiously upbeat;28169;4646;wrathful;free;tightly;19:00:00;where;17:09:00;25777
