id;nir;cle_nir;num_personne_gaia;code_agent;user_creation;creation_date;user_maj;maj_date;num_maj
1;keenly than nor;488;10401;quaff;whose shirk ew;07:41:00;when approach;10:12:00;5252
2;known redress inasmuch;20765;8551;abaft;sequester;01:30:00;blah;05:52:00;17755
3;instructor gah although;651;15917;drat;fooey around climb;05:20:00;emotional slipper;17:21:00;1778
4;meanwhile throughout astride;32612;14721;able cripple;hmph;01:42:00;although unnaturally humidity;14:42:00;5694
5;considering seldom;24573;24238;whether silently;whose stoop hungrily;14:39:00;knowledgeably;16:16:00;1702
6;verve;11923;16974;whether gently;frankly sans;14:32:00;tomb;13:22:00;12183
7;forenenst instantly bemuse;25921;28421;respray playfully fashion;curly;15:19:00;cute nimble once;22:41:00;11773
8;sadly;15340;8614;meanwhile next hmph;as splurge;02:25:00;suddenly;07:32:00;15310
9;zebra;4362;9558;boohoo acidly notwithstanding;bidet until healthily;06:48:00;juvenile about excepting;04:04:00;8045
10;of airbrush like;1905;12044;generously;flight furthermore swim;19:55:00;hygienic blond acclaimed;20:01:00;29975
